instances,f1,f2,f3,f4
inst01,3,12,1.5,0
inst02,5,10,2.0,0
inst03,8,15,2.2,0
inst04,15,20,3.0,1
inst05,18,22,3.5,1
inst06,22,25,4.0,1
inst07,28,18,4.5,1
inst08,33,30,5.0,2
inst09,37,28,5.2,2
inst10,42,35,6.0,2
inst11,47,32,6.5,2
inst12,52,40,7.0,2
inst13,58,45,7.8,3
inst14,63,42,8.0,3
inst15,70,50,9.0,3
inst16,75,48,9.5,3
inst17,2,8,1.0,0
inst18,4,9,1.2,0
inst19,10,17,2.5,0
inst20,16,21,3.1,1
inst21,24,26,4.1,1
inst22,30,29,4.6,1
inst23,34,31,5.1,2
inst24,39,33,5.6,2
inst25,44,37,6.2,2
inst26,49,39,6.8,2
inst27,60,44,7.9,3
inst28,1,7,0.8,0
inst29,19,23,3.4,1
inst30,32,27,4.9,2
