instances,s1,s2,s3
inst01,5,8,6
inst02,12,15,10
inst03,20,18,25
inst04,45,50,40
inst05,60,55,65
inst06,80,90,85
inst07,100,110,105
inst08,130,125,140
inst09,150,160,155
inst10,180,190,175
inst11,200,210,205
inst12,220,230,225
inst13,250,260,255
inst14,280,270,290
inst15,300,300,300
inst16,300,300,300
inst17,3,4,2
inst18,7,6,9
inst19,25,30,28
inst20,35,40,38
inst21,70,75,72
inst22,95,100,98
inst23,115,120,118
inst24,140,145,142
inst25,165,170,168
inst26,195,200,198
inst27,230,235,232
inst28,1,1.5,2
inst29,50,45,55
inst30,110,115,112
